product_name_raw,Product name,Category,Location,Count unit,Supplier,Product description,Pack size,Price per pack,Par qty,Par unit,Min override,Minimum,Min confirmed,Order class,Notes
tampons,Tampons,Washroom,Toiletries,tampons,Amazon,Tampons,64,17.28,,,,"=IF(L12<>"""",L12,IF(J12="""","""",IF(K12=""packs"",IF(H12="""","""",J12*H12),J12)))",yes,reorder,
pads,Sanitary Pads,Washroom,Toiletries,pads,Amazon,Sanitary Pads,44,7.99,,,,"=IF(L13<>"""",L13,IF(J13="""","""",IF(K13=""packs"",IF(H13="""","""",J13*H13),J13)))",yes,reorder,
d_batteries,D Batteries (Ergs),Gym,FOH Desk,batteries,Amazon,D Batteries (Ergs),8,15.99,1,packs,10,"=IF(L14<>"""",L14,IF(J14="""","""",IF(K14=""packs"",IF(H14="""","""",J14*H14),J14)))",yes,reorder,"sheet note: ""Need to have 10 on hand""; Par x Pack Size gives 8"
key_fobs,Key Fobs,Member Supplies,FOH Desk,fobs,,"GAT Key Tag 180 F7 1k black — MIFARE 7Byte UID, coded to Gantner Standard, part G-756026",1,3.59,,,,"=IF(L15<>"""",L15,IF(J15="""","""",IF(K15=""packs"",IF(H15="""","""",J15*H15),J15)))",yes,measure_only,"measure-only: counted, never auto-ordered; unit price from the 500-fob procurement quote (500 x £3.59 = £1,795.00 net); delivery charged separately at £68.01; the quote does not name the vendor and a minimum order quantity may apply"
blue_cloth,Blue Cloth Roll,Cleaning,Cafe,rolls,Amazon,"J Cloth Roll — 6 Blue Cloth Rolls, 150 Sheets",6,11.98,2,packs,,"=IF(L16<>"""",L16,IF(J16="""","""",IF(K16=""packs"",IF(H16="""","""",J16*H16),J16)))",no,reorder,"CONFIRM Par Unit: 2 cases = 12 rolls, double v3's 6 - deliberate increase?"
chill_tubs_sanitiser,Ice Bath Sanitiser,Facilities,Toiletries,tubs,Concept Spa,Chill Tubs Sanitiser,20,15.0,2,packs,,"=IF(L17<>"""",L17,IF(J17="""","""",IF(K17=""packs"",IF(H17="""","""",J17*H17),J17)))",no,reorder,"CONFIRM Par Unit: 2 packs = 40 tubs, double v3's 20 - deliberate increase?"
chill_tub_filters,Ice Bath Filter,Facilities,Toiletries,filters,Concept Spa,Chill Tub Filters,1,20.0,1,packs,,"=IF(L18<>"""",L18,IF(J18="""","""",IF(K18=""packs"",IF(H18="""","""",J18*H18),J18)))",yes,reorder,
wet_kit_bags,Wet Kit Bags,Member Supplies,Toiletries,bags,Amazon,Wet kit bag,250,12.99,2,packs,,"=IF(L19<>"""",L19,IF(J19="""","""",IF(K19=""packs"",IF(H19="""","""",J19*H19),J19)))",no,reorder,CONFIRM Par Unit: 2 packs of 250 = 500 bags (~£26); v3's 20 was a Newline pack of 20 and does not carry over
bin_bags,Bin Bags 80L,Cleaning,Staff Room,bags,Amazon,DCS 200 heavy duty bin bags 80L,200,16.62,1,packs,,"=IF(L20<>"""",L20,IF(J20="""","""",IF(K20=""packs"",IF(H20="""","""",J20*H20),J20)))",yes,reorder,
washing_up_liquid,Washing Up Liquid 5L,Cleaning,Cafe,bottles,Amazon,Ecover washing up liquid 5L,1,11.87,1,packs,,"=IF(L21<>"""",L21,IF(J21="""","""",IF(K21=""packs"",IF(H21="""","""",J21*H21),J21)))",yes,reorder,
water_softener_salt,Water Softener Salt,Facilities,Plant room,bags,Halite,Water Softener Salt,,149.99,10,items,,"=IF(L22<>"""",L22,IF(J22="""","""",IF(K22=""packs"",IF(H22="""","""",J22*H22),J22)))",yes,reorder,"Par Unit set to items: pack size unknown and the note uses ""pack"" to mean one bag; 10 packs at £149.99 would be ~£1,500; pack size unknown - cannot size an order"
blue_gloves_large,Nitrile Gloves (L),Cleaning,Staff Room,gloves,Amazon,Blue Nitrile disposable gloves L (8.5),200,3.41,1,packs,,"=IF(L23<>"""",L23,IF(J23="""","""",IF(K23=""packs"",IF(H23="""","""",J23*H23),J23)))",no,reorder,"CONFIRM Par Unit: 1 pack = 200 gloves, but the old DB row said 100 per pack"
paper_printer,Printer Paper,Stationery,FOH Desk,reams,Amazon,Paper - printer,,,2,items,,"=IF(L24<>"""",L24,IF(J24="""","""",IF(K24=""packs"",IF(H24="""","""",J24*H24),J24)))",yes,reorder,"Par Unit set to items: the note says ""2 on hand"", which is 2 reams; pack size unknown - cannot size an order; no price"
sure_deodorant_men,Deodorant - Men,Toiletries,Toiletries,cans,Amazon,Deodorant - Men,6,10.5,4,packs,,"=IF(L25<>"""",L25,IF(J25="""","""",IF(K25=""packs"",IF(H25="""","""",J25*H25),J25)))",yes,reorder,
sure_deodorant_women,Deodorant - Women,Toiletries,Toiletries,cans,Amazon,Deodorant - Women,6,10.5,4,packs,,"=IF(L26<>"""",L26,IF(J26="""","""",IF(K26=""packs"",IF(H26="""","""",J26*H26),J26)))",yes,reorder,
glade_sprays,Air Freshener Spray,Washroom,Toiletries,cans,Amazon,Glade air freshener sprays,4,,,,,"=IF(L27<>"""",L27,IF(J27="""","""",IF(K27=""packs"",IF(H27="""","""",J27*H27),J27)))",yes,reorder,pack size unverified (from old DB row); no price
microfibre_cloths,Microfibre Cloths,Cleaning,Staff Room,cloths,Amazon,MR.SIGA microfibre cloths pack of 12,12,9.49,1,packs,,"=IF(L28<>"""",L28,IF(J28="""","""",IF(K28=""packs"",IF(H28="""","""",J28*H28),J28)))",yes,reorder,Location set to Staff Room — the v4 sheet left this row's Category blank; confirm
sanitiser_gel,Hand Sanitiser 5L,Toiletries,Toiletries,bottles,Futures Supplies,BioHygiene UNFRAGRANCED Sanitiser 5L,1,26.98,1,packs,,"=IF(L29<>"""",L29,IF(J29="""","""",IF(K29=""packs"",IF(H29="""","""",J29*H29),J29)))",yes,reorder,
pens,Pens,Stationery,FOH Desk,pens,Amazon,https://www.amazon.co.uk/dp/B07TVR5X6W,,,,,,"=IF(L30<>"""",L30,IF(J30="""","""",IF(K30=""packs"",IF(H30="""","""",J30*H30),J30)))",yes,reorder,pack size unknown - cannot size an order; no price; product link supplied 2026-08-12; pack size and price still needed from the listing
printer_ink,Printer Ink,Stationery,FOH Desk,cartridges,Amazon,"SODFACE TN248 Toner Cartridge, compatible with Brother TN248XL, 4-pack — https://www.amazon.co.uk/dp/B0D2HN4V4Y",4,38.32,1,packs,,"=IF(L31<>"""",L31,IF(J31="""","""",IF(K31=""packs"",IF(H31="""","""",J31*H31),J31)))",yes,measure_only,"merged from the 4 single-colour rows 2026-08-12: the 4-pack was always one purchase; price and pack size from the supplied invoice; still measure_only — reconsider, toner is consumed"
