product_name_raw,display_name,location,supplier,order_link_or_desc,price_per_pack_gbp,units_per_pack,packs_per_month_par,_review
face_shield,Face Shield,First Aid,Amazon?,Split between 4 boxes,,,,NEW item - confirm slug/par/pack size; units_per_pack unknown; no price
foil_blankets,Foil Blankets,First Aid,Amazon?,Split between 4 boxes,,,,NEW item - confirm slug/par/pack size; units_per_pack unknown; no price
burn_dressing_10x10cm,Burn Dressing 10x10cm,First Aid,Amazon?,Split between 4 boxes,,,,NEW item - confirm slug/par/pack size; units_per_pack unknown; no price
clothing_cutters,Clothing Cutters,First Aid,Amazon?,Split between 4 boxes,,,,NEW item - confirm slug/par/pack size; units_per_pack unknown; no price
conforming_bandages,Conforming Bandages,First Aid,Amazon?,Split between 4 boxes,,,,NEW item - confirm slug/par/pack size; units_per_pack unknown; no price
ice_packs,Ice packs,First Aid,Amazon?,Ice packs,,24,24,no price
hair_bands,Hair Bands,FOH Desk,Amazon?,Hair Bands,3.99,100,1,
chalk_block,Chalk Block,Gym Floor,Amazon,Strength Shop magnesium carbonate chalk - case of 8 blocks,15.99,8,2,
puly_caffe_cleaner,Puly Caffe Cleaner,Cafe,Amazon,Puly Caffe Cleaner,21.47,2,2,
tampons,Tampons,Toiletries,Amazon,"Flo Organic Cotton Applicator Regular Tampons - 64 Bulk Pack | Absorbent, Soft, Smooth Applicator, Regular Flow Tampons",17.28,,6,units_per_pack unknown
pads,Sanitary Pads,Toiletries,Amazon,"Flo Bamboo Day Period Pads - 44 Pads Bulk Pack | Super Absorbent, Soft, Thin, Winged Breathable Pads for Regular Flow",7.99,44,6,
d_batteries,D Batteries (Ergs),FOH Desk,Amazon,"KODAK D Cell Alkaline Batteries (8 Pack) D Size Battery, LR20 1.5V | 10-Year Shelf Life, Advanced Leak-Resistant Design, High-Drain Devices, Extra Life, Disposable Cardboard Carton. 

Need to have 10 on hand",15.99,8,8,
key_fobs,Key Fobs,FOH Desk,,Key Fobs,,,1,units_per_pack unknown; no price
blue_cloth,Blue cloth,Cafe,Amazon,"J Cloth Roll，Cleaning Cloth Roll，Soft and Quick-Drying can Be Used Repeatedly，6 Blue Cloth Rolls,150 Sheets,Blue.",11.98,,1,units_per_pack unknown
chill_tubs_sanitiser,Chill Tubs Sanitiser,Toiletries,Concept Spa,tubs,15.0,20,3,
chill_tub_filters,Chill Tub Filters,Toiletries,Concept Spa,4 new ones. 6 old. check 6 weeks for replacement every 3 months,20.0,1,4,
wet_kit_bags,Wet kit bag,Toiletries,Newline,Wet kit bag,48.96,20,0.5,
bin_bags,Bin bags,Staff Room,Amazon,DCS 200 heavy duty bin bags 80L,16.62,200,2,
washing_up_liquid,Washing up liquid,Cafe,Amazon,Ecover washing up liquid 5L,11.87,1,1,
water_softener_salt,Water Softener Salt,Plant room,Halite,6 packs to fill tub. needs to be checked weekly,149.99,10,10,
urinal_shields,Urinal case,Toiletries,Amazon,Urinal case,,10,0.2,"""Urinal case"" vs DB ""Urinal Shields"" (x10) - same item?; no price"
blue_gloves_large,Blue Gloves Large,Staff Room,Amazon,Blue Nitrile disposable gloves L (8.5),3.41,100,2,
printer_ink_blk,Printer Ink - Black,FOH Desk,Amazon,Sodface,,1,1,no price
printer_ink_pink,Printer Ink - Pink,FOH Desk,Amazon,Sodface,,1,1,no price
printer_ink_blue,Printer Ink - Blue,FOH Desk,Amazon,Sodface,,1,1,no price
printer_ink_yellow,Printer Ink - Yellow,FOH Desk,Amazon,Sodface,,1,1,no price
paper_printer,Paper - printer,FOH Desk,Amazon,2 on hand,,,,NEW item - confirm slug/par/pack size; units_per_pack unknown; no price
sure_deodorant_men,Deodorant - Men,Toiletries,Amazon,Deodorant - Men,,6,1,no price
sure_deodorant_women,Deodorant - Women,Toiletries,Amazon,Deodorant - Women,,6,1,no price
glade_sprays,Glade airfreshner sparys,Toiletries,Amazon,Glade airfreshner sparys,,4,1,no price
microfibre_cloths,Microfibre Cloths,,Amazon,MR.SIGA microfibre cloths pack of 12,9.49,12,1,
sanitiser_gel,Hand sanitiser,Toiletries,Futures Supplies,5L. Oceanfree Professional?,,1,2,"DB ""Sanitiser Gel"" 5L, Futures - sheet supplier blank, note says Oceanfree?; no price"
pens,Pens,FOH Desk,Amazon,Pens,,,,NEW item - confirm slug/par/pack size; units_per_pack unknown; no price
highlighers,Highlighers,FOH Desk,,Highlighers,,,,NEW item - confirm slug/par/pack size; units_per_pack unknown; no price
white_board_marker,White board marker,FOH Desk,,White board marker,,,,NEW item - confirm slug/par/pack size; units_per_pack unknown; no price
permamnent_marker,Permamnent marker,FOH Desk,,Permamnent marker,,,,NEW item - confirm slug/par/pack size; units_per_pack unknown; no price
notepads,Notepads,FOH Desk,Amazon,need 1 on hand,,,,NEW item - confirm slug/par/pack size; units_per_pack unknown; no price
