product_name_raw,display_name,location,supplier,order_link_or_desc,price_per_pack_gbp,units_per_pack,count_unit,par_qty_sheet,par_unit,par_unit_basis,min_stock_units,min_confirmed,order_class,units_per_pack_source,par_source,min_source,_review
chill_tubs_sanitiser,Ice Bath Sanitiser,Toiletries,Concept Spa,Chill Tubs Sanitiser,15.0,20,tubs,2,packs,"2 packs = 40 tubs, double v3's 20 - deliberate increase?",40,no,reorder,sheet Pack Size,sheet Par Qty (2 packs) x 20 items/pack,Par Qty in items,"CONFIRM Par Unit: 2 packs = 40 tubs, double v3's 20 - deliberate increase?"
chill_tub_filters,Ice Bath Filter,Toiletries,Concept Spa,Chill Tub Filters,20.0,1,filters,1,packs,"pack of 1, so packs and items are the same number",1,yes,reorder,sheet Pack Size,sheet Par Qty (1 packs) x 1 items/pack,Par Qty in items,
wet_kit_bags,Wet Kit Bags,Toiletries,Amazon,Wet kit bag,12.99,250,bags,2,packs,2 packs of 250 = 500 bags (~£26); v3's 20 was a Newline pack of 20 and does not carry over,500,no,reorder,sheet Pack Size,sheet Par Qty (2 packs) x 250 items/pack,Par Qty in items,CONFIRM Par Unit: 2 packs of 250 = 500 bags (~£26); v3's 20 was a Newline pack of 20 and does not carry over
bin_bags,Bin Bags 80L,Staff Room,Amazon,DCS 200 heavy duty bin bags 80L,16.62,200,bags,1,packs,v4 Par x Pack Size reproduces v3's item figure exactly,200,yes,reorder,sheet Pack Size,sheet Par Qty (1 packs) x 200 items/pack,Par Qty in items,
washing_up_liquid,Washing Up Liquid 5L,Cafe,Amazon,Ecover washing up liquid 5L,11.87,1,5L bottles,1,packs,"pack of 1, so packs and items are the same number",1,yes,reorder,sheet Pack Size,sheet Par Qty (1 packs) x 1 items/pack,Par Qty in items,
water_softener_salt,Water Softener Salt,Plant room,Halite,Water Softener Salt,149.99,,bags,10,items,"pack size unknown and the note uses ""pack"" to mean one bag; 10 packs at £149.99 would be ~£1,500",10,yes,reorder,unknown,"sheet Par Qty (10 items), Par Unit = items",Par Qty in items,"Par Unit set to items: pack size unknown and the note uses ""pack"" to mean one bag; 10 packs at £149.99 would be ~£1,500; pack size unknown - cannot size an order"
urinal_shields,Urinal Shields,Toiletries,Amazon,Urinal case,,10,shields,,,,,yes,reorder,carried from live Supabase row - unverified,no Par Qty set,not set,pack size unverified (from old DB row); no price
blue_gloves_large,Nitrile Gloves (L),Staff Room,Amazon,Blue Nitrile disposable gloves L (8.5),3.41,200,gloves,1,packs,"1 pack = 200 gloves, but the old DB row said 100 per pack",200,no,reorder,sheet Pack Size,sheet Par Qty (1 packs) x 200 items/pack,Par Qty in items,"CONFIRM Par Unit: 1 pack = 200 gloves, but the old DB row said 100 per pack"
printer_ink_blk,Printer Ink - Black,FOH Desk,Amazon,Printer Ink - Black (Sodface),,1,cartridges,1,packs,"pack of 1, so packs and items are the same number",1,yes,measure_only,sheet Pack Size,sheet Par Qty (1 packs) x 1 items/pack,Par Qty in items,"no price; measure-only: counted, never auto-ordered"
printer_ink_pink,Printer Ink - Pink,FOH Desk,Amazon,Printer Ink - Pink (Sodface),,1,cartridges,1,packs,"pack of 1, so packs and items are the same number",1,yes,measure_only,sheet Pack Size,sheet Par Qty (1 packs) x 1 items/pack,Par Qty in items,"no price; measure-only: counted, never auto-ordered"
printer_ink_blue,Printer Ink - Blue,FOH Desk,Amazon,Printer Ink - Blue (Sodface),,1,cartridges,1,packs,"pack of 1, so packs and items are the same number",1,yes,measure_only,sheet Pack Size,sheet Par Qty (1 packs) x 1 items/pack,Par Qty in items,"no price; measure-only: counted, never auto-ordered"
printer_ink_yellow,Printer Ink - Yellow,FOH Desk,Amazon,Printer Ink - Yellow (Sodface),,1,cartridges,1,packs,"pack of 1, so packs and items are the same number",1,yes,measure_only,sheet Pack Size,sheet Par Qty (1 packs) x 1 items/pack,Par Qty in items,"no price; measure-only: counted, never auto-ordered"
paper_printer,Printer Paper,FOH Desk,Amazon,Paper - printer,,,reams,2,items,"the note says ""2 on hand"", which is 2 reams",2,yes,reorder,unknown,"sheet Par Qty (2 items), Par Unit = items",Par Qty in items,"Par Unit set to items: the note says ""2 on hand"", which is 2 reams; pack size unknown - cannot size an order; no price"
sure_deodorant_men,Deodorant - Men,Toiletries,Amazon,Deodorant - Men,10.5,6,cans,4,packs,v4 Par x Pack Size reproduces v3's item figure exactly,24,yes,reorder,sheet Pack Size,sheet Par Qty (4 packs) x 6 items/pack,Par Qty in items,
sure_deodorant_women,Deodorant - Women,Toiletries,Amazon,Deodorant - Women,10.5,6,cans,4,packs,v4 Par x Pack Size reproduces v3's item figure exactly,24,yes,reorder,sheet Pack Size,sheet Par Qty (4 packs) x 6 items/pack,Par Qty in items,
glade_sprays,Air Freshener Spray,Toiletries,Amazon,Glade air freshener sprays,,4,cans,,,,,yes,reorder,carried from live Supabase row - unverified,no Par Qty set,not set,pack size unverified (from old DB row); no price
microfibre_cloths,Microfibre Cloths,,Amazon,MR.SIGA microfibre cloths pack of 12,9.49,12,cloths,1,packs,v4 Par x Pack Size reproduces v3's item figure exactly,12,yes,reorder,sheet Pack Size,sheet Par Qty (1 packs) x 12 items/pack,Par Qty in items,no category
sanitiser_gel,Hand Sanitiser 5L,Toiletries,Futures Supplies,BioHygiene UNFRAGRANCED Sanitiser 5L,26.98,1,5L bottles,1,packs,"pack of 1, so packs and items are the same number",1,yes,reorder,sheet Pack Size,sheet Par Qty (1 packs) x 1 items/pack,Par Qty in items,
pens,Pens,FOH Desk,Amazon,Pens,,,pens,,,,,yes,reorder,unknown,no Par Qty set,not set,pack size unknown - cannot size an order; no price
notepads,Notepads,FOH Desk,Amazon,Notepads,,,pads,,,,1,yes,reorder,unknown,no Par Qty set,"stated in sheet notes: ""need 1 on hand""",pack size unknown - cannot size an order; no price
