sheet_product,in_stock_tab,in_product_list_tab,sheet_category,sheet_supplier,stock_par_qty,plist_qty,sheet_cost,sheet_cadence,sheet_stock_count,matched_db_key,db_display_name,db_subcategory,db_supplier,db_cost_gross,db_pack_size,db_par_packs,status,cost_basis,needs_confirming
Puly Caffe Cleaner,Y,Y,Cafe,Amazon,2.0,2.0,21.47,2 p/m,0.5,puly_caffe_cleaner,Puly Caffe Cleaner,Main,Amazon,19.79,2,2,matched,CHANGED (DB/sheet=0.92),
Tampons,Y,Y,Toiletries,Amazon,64.0,64.0,17.28,?,4.0,tampons,Tampons,FOH Desk,Amazon,,,6,matched,no DB price to compare,
Sanitary Pads,Y,Y,Toiletries,Amazon,44.0,44.0,7.99,?,11.0,pads,Pads,FOH Desk,Amazon,28.76,44,6,matched,CHANGED (DB/sheet=3.60),
D Batteries (Ergs),Y,Y,FOH Desk,Amazon,8.0,8.0,15.99,8 p/m,5.0,d_batteries,D Batteries (Ergs),FOH Desk,Amazon,10.76,8,8,matched,CHANGED (DB/sheet=0.67),
Key Fobs,Y,Y,FOH Desk,,,,,,0.0,key_fobs,Key Fobs,FOH Desk,,,,1,matched,,
Blue cloth,Y,Y,Cafe,Amazon,6.0,6.0,11.98,1 p/m,0.0,blue_cloth,Blue Cloth,FOH Desk,Amazon,,,1,matched,no DB price to compare,
Chill Tubs Sanitiser,Y,Y,Toiletries,Concept Spa,20.0,20.0,15.0,,3.0,chill_tubs_sanitiser,Chill Tubs Sanitiser,Main,Concept Spa,15.0,20,3,matched,same,
Chill Tub Filters,Y,Y,Toiletries,Concept Spa,1.0,1.0,20.0,,10.0,chill_tub_filters,Chill Tub Filters,Main,Concept Spa,20.0,1,4,matched,same,
Wet kit bag,Y,Y,Toiletries,Newline,20.0,20.0,48.96,,3.0,wet_kit_bags,Wet Kit Bags,Main,Newline,48.96,20,0.5,matched,same,
Bin bags,Y,Y,Staff Room,Amazon,200.0,200.0,16.62,2 p/m,0.5,bin_bags,Bin Bags,Main,Amazon,16.62,200,2,matched,same,
Washing up liquid,Y,Y,Cafe,Amazon,1.0,1.0,11.87,,0.5,washing_up_liquid,Washing Up Liquid,Main,Amazon,12.46,1,1,matched,CHANGED (DB/sheet=1.05),
Water Softener Salt,Y,Y,Plant room,Halite,10.0,10.0,149.99,?,36.0,water_softener_salt,Water Softener Salt,Main,Halite,149.99,10,10,matched,same,
Urinal case,Y,Y,Toiletries,Amazon,,,,,0.0,urinal_shields,Urinal Shields,Main,Amazon,14.95,10,0.2,matched,,"""Urinal case"" vs DB ""Urinal Shields"" (x10) - same item?"
Blue Gloves Large,Y,Y,Staff Room,Amazon,,,3.41,2 p/m,0.0,blue_gloves_large,Blue Gloves Large,FOH Desk,Futures Supplies,3.41,100,2,matched,same,
Printer Ink - Black,Y,Y,FOH Desk,Amazon,1.0,,,1.0,1.0,printer_ink_blk,Printer Ink - Black,Printer,Cartridge People,224.9,1,1,matched,,
Printer Ink - Pink,Y,Y,FOH Desk,Amazon,1.0,,,1.0,1.0,printer_ink_pink,Printer Ink - Pink,Printer,Cartridge People,,1,1,matched,,
Printer Ink - Blue,Y,Y,FOH Desk,Amazon,1.0,,,1.0,1.0,printer_ink_blue,Printer Ink - Blue,Printer,Cartridge People,,1,1,matched,,
Printer Ink - Yellow,Y,Y,FOH Desk,Amazon,1.0,,,1.0,1.0,printer_ink_yellow,Printer Ink - Yellow,Printer,Cartridge People,,1,1,matched,,
Paper - printer,Y,Y,FOH Desk,Amazon,2.0,,,,0.5,,,,,,,,NEW,,
Deodorant - Men,Y,Y,Toiletries,,24.0,,,,0.0,sure_deodorant_men,Sure Deodorant - Men,Main,Amazon,8.75,6,1,matched,,
Deodorant - Women,Y,Y,Toiletries,,24.0,,,,0.0,sure_deodorant_women,Sure Deodorant - Women,Main,Amazon,8.7,6,1,matched,,
Glade airfreshner sparys,Y,Y,Toiletries,,,,,,3.0,glade_sprays,Glade Fragrance Sprays,Main,Amazon,13.4,4,1,matched,,
Microfibre Cloths,Y,Y,,Amazon,12.0,12.0,9.49,,,microfibre_cloths,Microfibre Cloths,Main,Amazon,9.49,12,1,matched,same,
Hand sanitiser,Y,Y,Toiletries,,,,,,1.0,sanitiser_gel,Sanitiser Gel,Main,Futures Supplies,17.62,1,2,matched,,"DB ""Sanitiser Gel"" 5L, Futures - sheet supplier blank, note says Oceanfree?"
Pens,Y,Y,FOH Desk,Amazon,,,,,12.0,,,,,,,,NEW,,
Highlighers,,Y,FOH Desk,,,,,,,,,,,,,,NEW,,
White board marker,,Y,FOH Desk,,,,,,,,,,,,,,NEW,,
Permamnent marker,,Y,FOH Desk,,,,,,,,,,,,,,NEW,,
Notepads,Y,Y,FOH Desk,Amazon,,,,,,,,,,,,,NEW,,
,,,,,,,,,,plastic_food_bags,Clear Plastic Food Bags,Cafe (HP Cupboard),Amazon,10.73,1000,1,DROPPED FROM SHEET,,no row in the new sheet - would be DEACTIVATED by syncProducts
,,,,,,,,,,hs_refills,Health & Safety / First Aid Kit,FOH Desk,Amazon,24.53,1,1,DROPPED FROM SHEET,,superseded by 15 individual First Aid lines
,,,,,,,,,,clinell_wipes,Clinell Universal Wipes,Main,Amazon,9.99,225,1,DROPPED FROM SHEET,,no row in the new sheet - would be DEACTIVATED by syncProducts
,,,,,,,,,,kleenex_tissues,Kleenex Tissues,Main,Amazon,12.0,12,1,DROPPED FROM SHEET,,no row in the new sheet - would be DEACTIVATED by syncProducts
,,,,,,,,,,dispenser_pumps,Pumps for Dispensers,Main,Futures Supplies,8.59,10,2,DROPPED FROM SHEET,,no row in the new sheet - would be DEACTIVATED by syncProducts
