product,key,category,supplier,units_per_pack,your_par_qty,monthly_usage_units,usage_source,cover_days,calculated_min,note_min,note_min_text,MIN_STOCK_UNITS,set_by,order_up_to_units,implied_order_every_days,count_as_entered,count_basis,count_basis_evidence,count_in_units,monthly_usage_for_sizing,review
Sterile Wipes,(new),First Aid,Amazon?,,80.0,,none,12,,,,80.0,your Par Qty,,,40,units,"counted 2026-08-04, all 4 boxes, individual items",40.0,,units_per_pack unknown; no monthly usage figure
Waterproof Tape,(new),First Aid,Amazon?,,4.0,,none,12,,,,4.0,your Par Qty,,,0,units,"counted 2026-08-04, all 4 boxes, individual items",0.0,,units_per_pack unknown; no monthly usage figure
Blue Gloves,(new),First Aid,Amazon?,,24.0,,none,12,,,,24.0,your Par Qty,,,12,units,"counted 2026-08-04, all 4 boxes, individual items",12.0,,units_per_pack unknown; no monthly usage figure
Finger Dressing,(new),First Aid,Amazon?,,8.0,,none,12,,,,8.0,your Par Qty,,,1,units,"counted 2026-08-04, all 4 boxes, individual items",1.0,,units_per_pack unknown; no monthly usage figure
Face Shield,(new),First Aid,Amazon?,,4.0,,none,12,,,,4.0,your Par Qty,,,3,units,"counted 2026-08-04, all 4 boxes, individual items",3.0,,units_per_pack unknown; no monthly usage figure
Foil Blankets,(new),First Aid,Amazon?,,4.0,,none,12,,,,4.0,your Par Qty,,,3,units,"counted 2026-08-04, all 4 boxes, individual items",3.0,,units_per_pack unknown; no monthly usage figure
Burn Dressing 10x10cm,(new),First Aid,Amazon?,,4.0,,none,12,,,,4.0,your Par Qty,,,2,units,"counted 2026-08-04, all 4 boxes, individual items",2.0,,units_per_pack unknown; no monthly usage figure
Clothing Cutters,(new),First Aid,Amazon?,,4.0,,none,12,,,,4.0,your Par Qty,,,0,units,"counted 2026-08-04, all 4 boxes, individual items",0.0,,units_per_pack unknown; no monthly usage figure
Conforming Bandages,(new),First Aid,Amazon?,,4.0,,none,12,,,,4.0,your Par Qty,,,2,units,"counted 2026-08-04, all 4 boxes, individual items",2.0,,units_per_pack unknown; no monthly usage figure
Ice packs,ice_packs,First Aid,Amazon?,24,,576,estimate (unverified),12,227.1,,,24,one pack,48,30.0,11,units,"counted 2026-08-04, all 4 boxes, individual items",11.0,24,"par 24/mo implies 576 units/mo -> min 227.1, vs one pack of 24: par is probably in units not packs; no Par Qty set"
Hair Bands,hair_bands,FOH Desk,Amazon?,100,1.0,100,estimate (unverified),12,39.4,,,100,one pack,200,30.0,0.0,n/a,count is zero - same either way,0.0,100,"par 1/mo implies 100 units/mo -> min 39.4, vs Par Qty 1.0: par is probably in units not packs"
Chalk Block,chalk_block,Gym Floor,Amazon,8,2.0,16,estimate (unverified),12,6.3,,,8,one pack,16,30.0,1.0,packs,confirmed: 1 pack of 8,8.0,8,"par 2/mo implies 16 units/mo -> min 6.3, vs Par Qty 2.0: par is probably in units not packs"
Puly Caffe Cleaner,puly_caffe_cleaner,Cafe,Amazon,2,2.0,4,estimate (unverified),12,1.6,,,2.0,your Par Qty,4.0,30.0,0.5,units,confirmed: 0.5 of an item,0.5,2,
Tampons,tampons,Toiletries,Amazon,64,64.0,384,estimate (unverified),16,201.8,,,64.0,your Par Qty,128.0,30.0,4.0,packs,confirmed surplus - 4 packs = 256 items,256.0,64,"par 6/mo implies 384 units/mo -> min 201.8, vs Par Qty 64.0: par is probably in units not packs; CONFIRMED OVERSTOCKED - do not order"
Sanitary Pads,pads,Toiletries,Amazon,44,44.0,264,estimate (unverified),16,138.8,,,44.0,your Par Qty,88.0,30.0,11.0,packs,confirmed surplus - 11 packs = 484 items,484.0,44,"par 6/mo implies 264 units/mo -> min 138.8, vs Par Qty 44.0: par is probably in units not packs; CONFIRMED OVERSTOCKED - do not order"
D Batteries (Ergs),d_batteries,FOH Desk,Amazon,8,8.0,64,estimate (unverified),12,25.2,10,Need to have 10 on hand,10,note in the sheet,18,30.0,5.0,units,confirmed: 5 individual batteries,5.0,8,"par 8/mo implies 64 units/mo -> min 25.2, vs Par Qty 8.0: par is probably in units not packs"
Key Fobs,key_fobs,FOH Desk,,1,,1,estimate (unverified),12,0.4,,,1,one pack,2,30.0,0.0,n/a,count is zero - same either way,0.0,1,"no Par Qty set; not a reorder line - count it, but do not order"
Blue cloth,blue_cloth,Cafe,Amazon,6,6.0,6,estimate (unverified),12,2.4,,,6.0,your Par Qty,12.0,30.0,0.0,n/a,count is zero - same either way,0.0,6,
Chill Tubs Sanitiser,chill_tubs_sanitiser,Toiletries,Concept Spa,20,20.0,60,estimate (unverified),12,23.7,,,23.7,usage x cover days,43.7,30.0,3.0,units,confirmed: 3 tubs,3.0,20,Par Qty 20.0 is BELOW the calculated 23.7 - raise it
Chill Tub Filters,chill_tub_filters,Toiletries,Concept Spa,1,1.0,4,estimate (unverified),12,1.6,,,1.6,usage x cover days,2.6,30.0,10.0,n/a,one item per pack,10.0,1,Par Qty 1.0 is BELOW the calculated 1.6 - raise it
Wet kit bag,wet_kit_bags,Toiletries,Newline,20,20.0,10.0,estimate (unverified),12,3.9,,,20.0,your Par Qty,40.0,30.0,3.0,units,confirmed: 3 items,3.0,20,
Bin bags,bin_bags,Staff Room,Amazon,200,200.0,400,estimate (unverified),16,210.2,,,210.2,usage x cover days,410.2,30.0,0.5,packs,0.5 of a 200-bag pack,100.0,200,Par Qty 200.0 is BELOW the calculated 210.2 - raise it
Washing up liquid,washing_up_liquid,Cafe,Amazon,1,1.0,1,estimate (unverified),12,0.4,,,1.0,your Par Qty,2.0,30.0,0.5,n/a,one item per pack,0.5,1,
Water Softener Salt,water_softener_salt,Plant room,Halite,10,10.0,100,estimate (unverified),12,39.4,6,6 packs to fill,10.0,your Par Qty,20.0,30.0,36.0,units,"confirmed overstocked - 36 bags, note says 6 packs fill the tub",36.0,10,"par 10/mo implies 100 units/mo -> min 39.4, vs Par Qty 10.0: par is probably in units not packs; CONFIRMED OVERSTOCKED - do not order"
Urinal case,urinal_shields,Toiletries,Amazon,10,,2.0,estimate (unverified),12,0.8,,,10,one pack,20,30.0,0.0,n/a,count is zero - same either way,0.0,10,no Par Qty set
Blue Gloves Large,blue_gloves_large,Staff Room,Amazon,100,,200,estimate (unverified),12,78.8,,,100,one pack,200,30.0,0.0,n/a,count is zero - same either way,0.0,100,no Par Qty set
Printer Ink - Black,printer_ink_blk,FOH Desk,Amazon,1,1.0,1,estimate (unverified),12,0.4,,,1.0,your Par Qty,2.0,30.0,1.0,n/a,one item per pack,1.0,1,"new stock just arrived - do not reorder, measure how long it lasts"
Printer Ink - Pink,printer_ink_pink,FOH Desk,Amazon,1,1.0,1,estimate (unverified),12,0.4,,,1.0,your Par Qty,2.0,30.0,1.0,n/a,one item per pack,1.0,1,"new stock just arrived - do not reorder, measure how long it lasts"
Printer Ink - Blue,printer_ink_blue,FOH Desk,Amazon,1,1.0,1,estimate (unverified),12,0.4,,,1.0,your Par Qty,2.0,30.0,1.0,n/a,one item per pack,1.0,1,"new stock just arrived - do not reorder, measure how long it lasts"
Printer Ink - Yellow,printer_ink_yellow,FOH Desk,Amazon,1,1.0,1,estimate (unverified),12,0.4,,,1.0,your Par Qty,2.0,30.0,1.0,n/a,one item per pack,1.0,1,"new stock just arrived - do not reorder, measure how long it lasts"
Paper - printer,(new),FOH Desk,Amazon,,2.0,,none,12,,2,2 on hand,2.0,your Par Qty,,,0.5,AMBIGUOUS,no pack/unit basis recorded,,,units_per_pack unknown; no monthly usage figure
Deodorant - Men,sure_deodorant_men,Toiletries,,6,24.0,6,estimate (unverified),12,2.4,,,24.0,your Par Qty,30.0,30.0,0.0,n/a,count is zero - same either way,0.0,6,
Deodorant - Women,sure_deodorant_women,Toiletries,,6,24.0,6,estimate (unverified),12,2.4,,,24.0,your Par Qty,30.0,30.0,0.0,n/a,count is zero - same either way,0.0,6,
Glade airfreshner sparys,glade_sprays,Toiletries,,4,,4,estimate (unverified),12,1.6,,,4,one pack,8,30.0,3.0,AMBIGUOUS,no pack/unit basis recorded,,4,no Par Qty set
Microfibre Cloths,microfibre_cloths,,Amazon,12,12.0,12,estimate (unverified),12,4.7,,,12.0,your Par Qty,24.0,30.0,,n/a,not counted,,12,no category
Hand sanitiser,sanitiser_gel,Toiletries,,1,,2,estimate (unverified),16,1.1,,,1.1,usage x cover days,2.1,30.0,1.0,n/a,one item per pack,1.0,1,no Par Qty set
Pens,(new),FOH Desk,Amazon,,,,none,12,,,,,,,,12.0,n/a,usage to be set by the first order,12.0,,units_per_pack unknown; baseline to be set by the first order
Notepads,(new),FOH Desk,Amazon,,,,none,12,,1,need 1 on hand,1,note in the sheet,,,,n/a,not counted,,,no Par Qty set; units_per_pack unknown; no monthly usage figure
